country,url,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12
Germany,https://www.countryflags.io/DE/shiny/64.png,2.4,3.1,3.4,3.9,4.6,5.3,6,6.7,7.3,7.7,8.5,9.5,10.7,11.9,13,13.6,14,14.7,15.5,16.4,17.1,18.1,18.7,19.2,19.9,20.5,21.1,21.8,22.4,22.9,23.3,23.8,24.5,25.2,25.9,26.6,27.1,27.5,28.1,28.9,29.7,30.6,31.5
Greece,https://www.countryflags.io/GR/shiny/64.png,0.2,0.3,0.4,1,1.6,2,2.5,3.4,3.9,4.3,4.8,5.4,6.2,6.8,7.2,7.7,,8.2,9,10.4,11.9,13.6,15.1,,16.5,17.7,19,20.2,21.2,22.3,,23.7,25.1,26.5,27.9,29.4,30.5,,31.9,33.1,33.9,34.6,35.2
Israel,https://www.countryflags.io/IL/shiny/64.png,122.9,131.2,148.5,166.1,180.6,192.6,206,213.7,218.9,223.2,225.6,228.4,234.4,240.9,244.4,247.8,255.7,263.8,272.3,281.1,289.1,293.5,298.1,306,315.3,324.3,333.2,342.4,346.6,350.5,359,368.5,376.5,383.3,391.5,395.4,397.8,403.9,410.6,418.1,426,435.1,436.8
Italy,https://www.countryflags.io/IT/shiny/64.png,0.8,1.5,2,3.2,4.5,5.6,7.1,8.7,10.1,11.1,12.4,13.8,15.3,16.8,18.3,19.3,19.9,20.5,21,21.4,21.7,21.9,21.9,22,22.1,22.1,22.2,22.3,22.4,22.4,22.5,22.6,22.7,22.8,23,23.3,23.5,23.7,24.1,24.7,25.4,26.3,26.8
Latvia,https://www.countryflags.io/LV/shiny/64.png,,,,1.6,2,2.4,2.9,3.4,3.5,3.7,4.4,5.3,6.1,7.1,8,8.4,8.5,8.6,8.6,8.6,8.8,8.9,9,,9,9,9,9,9.1,9.1,,9.1,9.2,9.3,9.4,9.4,9.5,9.5,9.6,9.7,9.9,10.4,10.8
Lithuania,https://www.countryflags.io/LT/shiny/64.png,,,,,3.8,5.1,6.6,8.5,8.6,8.6,9.4,10.2,12.5,15.6,18.3,18.7,18.7,19.8,20.6,21.2,21.6,21.7,21.7,,21.7,22.6,24,25.3,26.4,26.4,26.4,26.8,27.4,28,28.6,28.9,29,29,29,29.4,31,33.7,35.8
Luxembourg,https://www.countryflags.io/LU/shiny/64.png,,,,,,,,,,,3.1,3.8,4.6,5.2,,,6,7.3,8.5,9.9,11,,,,11.7,13.2,14.5,15.8,,,17.2,18.1,19.1,20.1,21.2,,,22.3,22.5,22.7,24,25.8,
Malta,https://www.countryflags.io/MT/shiny/64.png,,,,,,,,,,,,,,,,,26.5,29.4,32.3,34.7,37.4,40.2,42.9,42.5,44.6,46.8,48.5,50.2,51.8,53,53.9,55.5,57.4,59.4,61.2,63.6,65.3,66.4,68.5,70.7,71.7,73.7,
Mexico,https://www.countryflags.io/MX/shiny/64.png,,,,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,1.5,2.6,3.2,3.6,3.6,3.8,3.8,3.8,4.1,4.6,4.6,4.7,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.9,4.9,4.9,4.9,5,5,5,5,5
Norway,https://www.countryflags.io/NO/shiny/64.png,0.4,0.4,0.4,0.4,1,2.7,3.9,4.2,4.2,4.3,4.3,5.1,6.9,8.5,9.3,9.4,9.5,9.7,10.6,12.4,13.9,14.6,14.6,14.6,14.7,15.1,17.2,19.2,19.9,19.9,19.9,20,21.1,25.6,30.3,32.2,32.4,32.4,32.5,33.4,37.5,40.9,
